Title:,Environmental CO2 Emissions from the Energy Totals Database,,
SubTitle:,USA - Category: Carbon Dioxide Emissions From Energy Consumption: Residential Sector,,
Time:,01/1973 - 07/2022,,
Unit of Measure:,Million Metric Tons of Carbon Dioxide,Million Metric Tons of Carbon Dioxide,Million Metric Tons of Carbon Dioxide
Citation:,"US Department of Energy, Energy Information Administration (2022-10-27). Energy Totals: Environmental CO2 Emissions | Carbon Dioxide Emissions From Energy Consumption: Residential Sector | Coal Residential Sector CO2 Emissions, Monthly | Residential Share of Electric Power Sector CO2 Emissions, Monthly | Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions, Monthly, 01/1973 - 07/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-022-006 doi:https://doi.org/10.6068/DP18466F910E092",,
ColumnCount:,4,,
RowCount:,595,,
,,,
Time,"Carbon Dioxide Emissions From Energy Consumption: Residential Sector, Coal Residential Sector CO2 Emissions, Monthly (Million Metric Tons of Carbon Dioxide)","Carbon Dioxide Emissions From Energy Consumption: Residential Sector, Residential Share of Electric Power Sector CO2 Emissions, Monthly (Million Metric Tons of Carbon Dioxide)","Carbon Dioxide Emissions From Energy Consumption: Residential Sector, Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions, Monthly (Million Metric Tons of Carbon Dioxide)"
Jan-73,1.14,40.77,45.62
Feb-73,0.98,35.24,40.4
Mar-73,0.77,33.48,35.06
Apr-73,0.5,29.69,25.19
May-73,0.51,29.73,17.64
Jun-73,0.51,35.14,11.2
Jul-73,0.5,42.89,8.13
Aug-73,0.55,45.08,7.7
Sep-73,0.74,39.8,8.62
Oct-73,0.86,35.31,11.08
Nov-73,0.95,32.38,21.22
Dec-73,1.01,35.56,31.93
Jan-74,1.06,38.77,44.34
Feb-74,0.9,32.84,37.37
Mar-74,0.73,33.22,32.44
Apr-74,0.5,30.01,26.16
May-74,0.43,31.33,17.15
Jun-74,0.41,34.1,11.69
Jul-74,0.38,42.49,9.02
Aug-74,0.54,42.08,7.71
Sep-74,0.66,35.2,8.4
Oct-74,0.73,32.52,12.76
Nov-74,0.72,32.23,19.46
Dec-74,0.82,39.21,33.26
Jan-75,0.84,40.07,40.58
Feb-75,0.55,34.17,39.6
Mar-75,0.53,33.56,36.64
Apr-75,0.35,30.45,32.27
May-75,0.28,29.44,18.24
Jun-75,0.31,33.73,11.01
Jul-75,0.38,40.78,9.04
Aug-75,0.35,43.29,7.76
Sep-75,0.49,35.28,8.32
Oct-75,0.56,30.64,12.08
Nov-75,0.58,29.95,17.81
Dec-75,0.8,37.83,32.86
Jan-76,0.73,45.18,45.54
